[09:42:35] Transaction: c247e987f0e6de8dd04afec353d8bdb74e412e576765e305756a2e46dd2d70f9 | BTC: 0.1380 | USD: $15,904.31
[09:42:35] Transaction: 5139d3c8522a23d602b193b040119aa2c5a659615142f0f1e0ae3d0d5c2f207e | BTC: 0.0928 | USD: $10,688.90
[09:42:37] Transaction: 55ee6d9898101b662d8e4551209d71de4fe37e686957d7efd363708f2bf14807 | BTC: 2.6650 | USD: $307,095.41
[09:42:41] Transaction: 3fdb0647c5578cd47483b213f189062a76aefec93664bde4e54128657311a44c | BTC: 1.1885 | USD: $136,948.70
[09:42:44] Transaction: dbb17bb8764a91c7f0af72f264c7b0000cab0c2cf27e8ed212e52519585a41fb | BTC: 63.3967 | USD: $7,305,332.20
[09:42:55] Transaction: 0eee7355ba5ffc47da66495aa5c023c5e394a663e62a4bfc046ceb137090896c | BTC: 3.9402 | USD: $454,038.28
[09:42:59] Transaction: bc52d6d5cea22fd4630f390ef77410ce9e8cb10b4f31839f21d6a818e7ea61bb | BTC: 0.3131 | USD: $36,079.78
[09:43:34] Transaction: fd301453f9666ba3d4161d0d0ab430b313c9e1a9fcafe0b2fc633d864b1f83e5 | BTC: 10.1509 | USD: $1,169,840.39
[09:43:36] Transaction: 2b5a47a32939814b5396664dabfd69200d8eccb95b2f0911599ce4c3ad3a6f80 | BTC: 3.0704 | USD: $353,847.09
[09:43:36] Transaction: d823555f6e7c0c00579ba09e699cc9d987bf13a879a2a707a863b3499283be1c | BTC: 1.2730 | USD: $146,705.12
[09:43:39] Transaction: fb0b28b0a2c8916a9a8aea1365ae144045251b6a2aa7191dbb2e487dd4376126 | BTC: 27.6560 | USD: $3,187,220.75
[09:43:40] Transaction: fd8f30c8f490dc1ca861c4598450937940fe7c145d572546247d8019bd22ccc4 | BTC: 1.5072 | USD: $173,698.68
[09:43:44] Transaction: 940c2a5e4c27ef6d44674b989076f74f0a86c0e5d58c870f3146d482b966b76e | BTC: 0.1005 | USD: $11,582.94
[09:43:47] Transaction: 773adeaf66500e6ed3e184b034b59bdd6872bf9d467394e1b37419fb1945d7c5 | BTC: 0.1544 | USD: $17,798.78
[09:43:51] Transaction: 9c0f871584515bd0d777b9aa805290c58a6638ad79620de7834492424ed25047 | BTC: 74.3318 | USD: $8,566,366.75
[09:43:53] Transaction: 03340be3319f37e69480ad8efedd269ecc9c87964c8472cf9cc1841b4031eb4e | BTC: 1.7981 | USD: $207,222.46
[09:43:53] Transaction: ceee7f163368d1d0f8fca98f371771c02c9d567c31d526ce22fdf9c8b5debe96 | BTC: 49.8005 | USD: $5,739,253.42
[09:44:01] Transaction: 746e382ed89e3e154576551d8f405b0867d8799707a6b37919d00892242b629d | BTC: 0.4260 | USD: $49,093.65
